X,Y,Flux,Radius
-0.6969044537655574,1213.125890307238,793993.0,10
-0.6969044537655574,1214.1526867697326,793993.0,10
0.6223737614051782,2752.385177179862,253703.0,10
0.7681141075799737,690.9652551415361,414355.0,10
1.0813143048612497,1213.4784076897495,934322.0,10
1.295173040647331,690.922959391632,414355.0,10
1.8146562316592254,690.7940924071646,414355.0,10
1.8425604777095623,908.0074713282146,591076.0,10
1.8796601430268791,1332.2022152888853,489179.0,10
2.411032797040922,1332.3791133528741,488094.0,10
2.496692494883646,908.011802085658,591076.0,10
2.9211176328140316,431.94521731108523,410200.0,10
3.267844856588138,431.8671665834691,410200.0,10
3.274245765355688,1333.8108158146506,489179.0,10
3.5290267712620675,908.0307737862979,591076.0,10
3.6339812625381205,1506.7222026457334,910768.0,10
3.781774200692227,431.6395710310965,410200.0,10
3.909444829086275,3393.9390139145034,395415.0,10
3.9730216297603875,2911.402234255101,340498.0,10
3.9817158581889465,2911.148900619781,340498.0,10
4.02164589701044,2911.052793446371,340498.0,10
4.178205566789565,3357.4420117033706,1108114.0,10
4.333936148387535,3393.8114596528244,395415.0,10
4.60157018386797,769.4661410646108,495070.0,10
4.826765706973086,1192.278879494224,1114176.0,10
4.899250290945221,936.0490045526761,417302.0,10
4.907582922474294,1505.3613990571532,900962.0,10
5.011625792621708,3393.457029984112,395415.0,10
5.26395451984688,1506.0977798414328,966020.0,10
5.268491892073778,936.1128861978557,417302.0,10
5.524674360954787,769.8093923838628,495070.0,10
5.758336644119876,936.3043742790086,417302.0,10
5.851136024244763,2394.180493393504,603253.0,10
5.875925205757604,3083.4069478644956,347940.0,10
5.915126376906818,263.1974486123003,424947.0,10
5.9224015196976625,1084.1309369198882,553644.0,10
5.96580298030977,1505.3613990571532,900962.0,10
5.970075271616411,263.0706302467241,424947.0,10
5.979919748275165,1572.9874804743256,350164.0,10
6.012245731354669,263.03136627744277,424947.0,10
6.04572091998025,1572.976857588265,350164.0,10
6.123291872345025,1572.940916459991,350164.0,10
6.179089370588249,769.9223443834024,495070.0,10
6.203078506182663,1084.313307219493,553644.0,10
6.273432766390464,1506.7222026457334,910768.0,10
6.280084820264384,693.1158051045596,368421.0,10
6.619111760118601,1084.9362013561768,553644.0,10
6.6213706038941496,2393.3861476297907,603253.0,10
6.995423641356296,235.50621926998085,474952.0,10
7.165430087437411,2393.1557596592183,603253.0,10
7.372003083783692,2855.6384174139057,898387.0,10
7.665049703329626,235.8240416371855,474952.0,10
7.758838586654768,2854.654964136647,998110.0,10
7.816628763845223,1138.16504955883,389186.0,10
8.102176351712755,2855.6384174139057,898387.0,10
8.140595620624053,235.91848240014448,474952.0,10
8.519616500470466,1138.417567816156,389186.0,10
8.819057291101133,1010.9395889620579,525470.0,10
8.829265673258837,1216.1326179466175,367650.0,10
8.896787537888859,3097.471638047656,514261.0,10
8.901449344678277,1776.7684386078097,424670.0,10
8.933360359431049,1216.0492097894007,367650.0,10
8.96108181569191,3097.1645124775428,514261.0,10
9.025746314534471,3097.0801101173533,514261.0,10
9.032825173421166,1216.0199451812489,367650.0,10
9.215989813920126,1776.3574880179822,424670.0,10
9.471595209565411,1010.8634520327768,525470.0,10
9.53828380702906,1139.1874990257793,389186.0,10
9.559026086279449,2416.991413404197,635405.0,10
9.603288993821513,1774.9936006313474,424670.0,10
9.85597022686493,2416.3285540537113,635405.0,10
10.067149431620084,2416.1404789019894,635405.0,10
10.42860824561615,1010.6037255547425,525470.0,10
